analysis,weather_interval,market_interval,metric,estimate,ci_lower,ci_upper,events,forecast_update_group,relative_hour,volume,volume_ci_lower,volume_ci_upper,mean_absolute_probability_change,mean_absolute_probability_change_ci_lower,mean_absolute_probability_change_ci_upper,open_interest_change,open_interest_change_ci_lower,open_interest_change_ci_upper
lead_lag_correlation,24h_to_12h,24h_to_12h,pearson_magnitude_correlation,0.1227279676933146,0.02963211322548115,0.2293162796415286,774,,,,,,,,,,,
lead_lag_correlation,24h_to_12h,24h_to_12h,spearman_magnitude_correlation,0.04480651692015672,-0.0274484022463402,0.11303375760132174,774,,,,,,,,,,,
lead_lag_correlation,24h_to_12h,12h_to_6h,pearson_magnitude_correlation,-0.0034998219276657274,-0.07319469908168723,0.06360605538814593,774,,,,,,,,,,,
lead_lag_correlation,24h_to_12h,12h_to_6h,spearman_magnitude_correlation,-0.017974658444185252,-0.08264066497104455,0.0524924556869063,774,,,,,,,,,,,
lead_lag_correlation,24h_to_12h,6h_to_1h,pearson_magnitude_correlation,0.05546595379050459,-0.018596544499215727,0.13493050318470443,774,,,,,,,,,,,
lead_lag_correlation,24h_to_12h,6h_to_1h,spearman_magnitude_correlation,0.04425403476580924,-0.025657006648419398,0.11350882861660896,774,,,,,,,,,,,
same_interval_regression,24h_to_12h,24h_to_12h,market_abs_revision_per_degree_abs_forecast_revision,0.008990200388437211,0.002094102225298469,0.017255578406770142,774,,,,,,,,,,,
error_reduction_correlation,24h_to_12h,24h_to_12h,weather_vs_market_error_reduction_pearson,0.06459292326845861,-0.010584930430933873,0.14344890229025525,774,,,,,,,,,,,
lead_lag_correlation,12h_to_6h,24h_to_12h,pearson_magnitude_correlation,0.12840312566279727,0.04443668736159142,0.20943812307548168,774,,,,,,,,,,,
lead_lag_correlation,12h_to_6h,24h_to_12h,spearman_magnitude_correlation,0.13112932676001565,0.05973210198047901,0.20063626856006442,774,,,,,,,,,,,
lead_lag_correlation,12h_to_6h,12h_to_6h,pearson_magnitude_correlation,-0.15657991949460107,-0.2243845574841626,-0.08467647421342388,774,,,,,,,,,,,
lead_lag_correlation,12h_to_6h,12h_to_6h,spearman_magnitude_correlation,-0.1296439149191129,-0.20205693360013913,-0.05354174596027966,774,,,,,,,,,,,
lead_lag_correlation,12h_to_6h,6h_to_1h,pearson_magnitude_correlation,-0.026945653658611974,-0.07885115936224157,0.022518761880949485,774,,,,,,,,,,,
lead_lag_correlation,12h_to_6h,6h_to_1h,spearman_magnitude_correlation,-0.03307784499889201,-0.10109983158509124,0.03739841529102428,774,,,,,,,,,,,
same_interval_regression,12h_to_6h,12h_to_6h,market_abs_revision_per_degree_abs_forecast_revision,-0.015247518370812386,-0.021611796032297195,-0.008901350033858927,774,,,,,,,,,,,
error_reduction_correlation,12h_to_6h,12h_to_6h,weather_vs_market_error_reduction_pearson,0.051412608337032394,-0.01010382363308132,0.11389790061687628,774,,,,,,,,,,,
post_vs_pre_release,,,volume_post_minus_pre,4719.1638006893745,3955.55697729116,5549.277649609691,822,all,,,,,,,,,,
post_vs_pre_release,,,abs_change_post_minus_pre,0.022498361043525275,0.019477236668694244,0.025575716409840497,822,all,,,,,,,,,,
post_vs_pre_release,,,volume_post_minus_pre,4931.894433604337,4202.180667039296,5681.222188075881,615,small_update,,,,,,,,,,
post_vs_pre_release,,,abs_change_post_minus_pre,0.024049006323396568,0.02050701332429991,0.02757864780939476,615,small_update,,,,,,,,,,
post_vs_pre_release,,,volume_post_minus_pre,4087.1380072463776,1860.0307639895327,6437.072779186796,207,large_update,,,,,,,,,,
post_vs_pre_release,,,abs_change_post_minus_pre,0.017891371443907674,0.011674500972893184,0.024724529488727855,207,large_update,,,,,,,,,,
post_vs_pre_release,,,volume_post_minus_pre,-844.7564263579593,-3186.4110412999653,1816.2423698318314,822,large_minus_small,,,,,,,,,,
post_vs_pre_release,,,abs_change_post_minus_pre,-0.0061576348794888935,-0.01321126254054999,0.0011549265774174885,822,large_minus_small,,,,,,,,,,
forecast_update_event_study,,,,,,,356,small_update,-6.0,3046.1457022471914,2640.201075842697,3464.025594101124,0.026549391385767788,0.024222553838951316,0.02878471441947565,2017.9498595505618,1725.2073757022474,2305.896523876405
forecast_update_event_study,,,,,,,596,small_update,-5.0,4041.001426174497,3605.64478942953,4469.282759647651,0.05926078431372549,0.05504032913165266,0.0633278361344538,2779.7962751677856,2464.3215209731543,3127.1067172818794
forecast_update_event_study,,,,,,,618,small_update,-4.0,5677.9142880258905,5131.980060679612,6300.851074433656,0.04023624595469256,0.03768370415318231,0.04285996156957929,3823.1105501618126,3433.205074838188,4321.472995954693
forecast_update_event_study,,,,,,,618,small_update,-3.0,5403.889336569579,4874.690792475729,5939.953198220064,0.04386556094929881,0.0410210355987055,0.046757072545846816,3345.2033333333334,3031.7798236245953,3674.5129631877016
forecast_update_event_study,,,,,,,619,small_update,-2.0,6436.202520193861,5772.613998788369,7117.852614701131,0.05029819601507808,0.04709431542810985,0.05332963785675822,3847.4049434571893,3430.5710658319867,4310.195593295638
forecast_update_event_study,,,,,,,616,small_update,-1.0,6927.461493506494,6277.322924512987,7677.6669922889605,0.061984442640692645,0.05838792275432901,0.06619577922077921,3815.865762987013,3393.72220211039,4267.946954545454
forecast_update_event_study,,,,,,,612,small_update,0.0,10041.1904248366,8925.15622385621,11162.424709150326,0.08679098583877995,0.08066219703159042,0.09260697167755991,5560.425032679739,4705.557841911765,6500.42103227124
forecast_update_event_study,,,,,,,614,small_update,1.0,10931.187719869706,9973.509706433226,12075.706180374593,0.06852144408251899,0.06407600434310531,0.0739669720412595,5662.704364820846,4904.9363668566775,6427.4960211726375
forecast_update_event_study,,,,,,,607,small_update,2.0,10911.87665568369,9601.892813426688,12258.604169686985,0.05622501372872048,0.05140198723228995,0.06116113399231191,5574.431565074135,4767.030123558486,6592.445074546952
forecast_update_event_study,,,,,,,605,small_update,3.0,12793.583454545455,11147.586750413224,14730.732128099171,0.0795931129476584,0.07201974862258952,0.08753219696969697,6684.901140495868,5421.594854545455,8051.956208677686
forecast_update_event_study,,,,,,,596,small_update,4.0,9774.300016778523,8284.962599832215,11633.844737416108,0.037584731543624156,0.032586451342281886,0.043357469938478756,5505.204446308725,4423.917682466444,6788.443535654363
forecast_update_event_study,,,,,,,575,small_update,5.0,5546.012747826087,4579.223056956523,6789.272961304348,0.015958840579710143,0.012800561594202897,0.019394862318840578,3603.8945391304346,2792.9402913043477,4687.201119130435
forecast_update_event_study,,,,,,,578,small_update,6.0,4453.427820069204,3708.6251111591696,5308.029371972319,0.021359429065743944,0.016881199538638984,0.025937835207612454,2756.8239965397925,2168.7174628027683,3427.329467560554
forecast_update_event_study,,,,,,,141,large_update,-6.0,4723.488936170213,3452.678824468086,6086.077602836878,0.032674940898345155,0.026654624704491724,0.04032516252955083,3698.121914893617,2524.1111843971635,5024.439987588653
forecast_update_event_study,,,,,,,205,large_update,-5.0,6887.034536585366,5317.309981707316,8876.864174390244,0.06030514705882353,0.05288367034313726,0.06806361315359477,5334.31443902439,3934.095285365854,7041.502062195123
forecast_update_event_study,,,,,,,207,large_update,-4.0,10006.732801932365,7440.813416666666,12868.207152173913,0.037785024154589376,0.032281340579710154,0.04393362520128824,7763.254734299517,5627.445299516907,10248.443888888885
forecast_update_event_study,,,,,,,207,large_update,-3.0,10231.59,7437.147602657004,13638.532776570044,0.03649557165861514,0.03230059380032206,0.04112724436392915,7764.5999033816415,5289.15804830918,10827.499328502412
forecast_update_event_study,,,,,,,206,large_update,-2.0,11327.980339805827,8675.094942961165,14330.443834951458,0.04740129449838188,0.041363319174757274,0.053366029530744354,8387.814951456312,6011.426320388351,11391.0445618932
forecast_update_event_study,,,,,,,207,large_update,-1.0,10927.677053140098,8747.73941304348,13475.65699396135,0.05505434782608696,0.04816300322061193,0.06193134057971015,7648.9510628019325,5479.013894927537,10466.61815942029
forecast_update_event_study,,,,,,,205,large_update,0.0,16438.3207804878,11241.781145121951,22991.00476463414,0.06612967479674797,0.05786452235772357,0.07537383130081302,11892.475170731708,6772.038203658537,19572.38778292683
forecast_update_event_study,,,,,,,206,large_update,1.0,14353.161067961164,11639.70817475728,16920.157006067962,0.06230177993527509,0.05228188713592233,0.07309810881877024,8938.419805825242,6915.947091019418,11115.308474514559
forecast_update_event_study,,,,,,,205,large_update,2.0,13194.471512195121,10588.77673414634,16063.164829268297,0.04897032520325203,0.03967289634146342,0.0587405081300813,8033.747756097562,5919.089293902439,10552.705015853655
forecast_update_event_study,,,,,,,205,large_update,3.0,15304.40775609756,11788.58482195122,19602.38148536585,0.07224186991869916,0.05857043699186992,0.08675638211382114,9806.627658536587,6777.837269512195,13578.125635365854
forecast_update_event_study,,,,,,,201,large_update,4.0,9239.930199004973,6922.6809216417905,11781.85644154229,0.02814925373134328,0.020977777777777776,0.036461722636815914,6505.499751243781,4551.055059701493,8799.64112562189
forecast_update_event_study,,,,,,,190,large_update,5.0,6376.116789473684,4757.970797368421,8240.58799868421,0.015260087719298245,0.010035043859649125,0.021065307017543857,4729.4344210526315,3298.321278947369,6463.0428618421065
forecast_update_event_study,,,,,,,190,large_update,6.0,4685.324789473684,3566.651372368421,5961.047798684212,0.023053070175438596,0.014006447368421052,0.0335485197368421,3284.203157894737,2407.035398684211,4279.5104552631565
